UnitName,County,Address1,Address2,City,State,Zip,Phone,Fax,Email
Adams,Adams County Extension,300 N. St. Joseph Ave Room 103,PO Box 30,Hastings,NE,68902-0030,402-461-7209,402-461-7210,Adams-County@unl.edu
Antelope,Antelope County Extension,501 Main,Suite B9,Neligh,NE,68756-1475,402-887-5414,402-887-5373,Antelope-County@unl.edu
Boone-Nance,Boone County Extension,222 South 4th,,Albion,NE,68620-1247,402-395-2158,402-395-2781,Boone-County@unl.edu
Boone-Nance,Nance County Extension,209 Esther Street-Courthouse,PO Box 130,Fullerton,NE,68638-0130,308-536-2691,308-536-2453,Nance-County@unl.edu
Box Butte,Box Butte County Extension,415 Black Hills Avenue,,Alliance,NE,69301-3243,308-762-5616,308-762-1343,BoxButte-County@unl.edu
Brown-Rock-KeyaPaha,Brown-Rock-KeyaPaha County Extension,148 West 4th Street,,Ainsworth,NE,69210-1696,402-387-2213,402-387-2065,BKR1@unl.edu
Buffalo,Buffalo County Extension,1400 E. 34th (Fairgrounds),,Kearney,NE,68847-3992,308-236-1235,308-234-6319,Buffalo-County@unl.edu
Burt,Burt County Extension,111 North 13th Street,Suite 6,Tekamah,NE,68061-1098,402-374-2929,402-374-2930,Burt-County@unl.edu
Butler,Butler County Extension,451 N. 5th Street,,David City,NE,68632-1666,402-367-7410,402-367-3329,Butler-County@unl.edu
Cass,Cass County Extension,8400 144th Street,Suite 100,Weeping Water,NE,68463-1932,402-267-2205,402-267-5375,Cass-County@unl.edu
Cedar,Cedar County Extension,101 East Centre,PO Box 368,Hartington,NE,68739-0368,402-254-6821,402-254-7205,Cedar-County@unl.edu
Central IV,Valley County Extension,801 S Street,Suite 1 - Fairgrounds,Ord,NE,68862-1857,308-728-5071,308-728-7740,Valley-County@unl.edu
Central IV,Howard County Extension,612 Indian Street,Suite 1,St. Paul,NE,68873-1642,308-754-5422,308-754-5423,Howard-County@unl.edu
Central IV,Sherman County Extension,630 O Street-Courthouse,PO Box 459,Loup City,NE,68853-1557,308-745-1518,308-745-1518,Sherman-County@unl.edu
Central IV,Greeley County Extension,Corner of O'Neill & Kildare,PO Box 290,Greeley,NE,68842-0290,308-428-2835,402-428-2835,Greeley-County@unl.edu
