District Research & Extension Centers and Laboratories,,,,,,,,,
,Northeast Research and Extension Center,601 East Benjamin Avenue,Suite 104,Norfolk,NE,68701-0812,402-370-4000,402-370-4010,
,Panhandle Research and Extension Center,4502 Avenue I,,Scottsbluff,NE,69361-4939,308-632-1230,308-632-1365,
,Southeast Research and Extension Center,1071 County Road G ,Room D,Ithaca,NE,68033-2234,402-624-8037,402-624-8010,
,West Central Research and Extension Center,402 W. State Farm Rd.,,North Platte,NE ,69101-7751,308-696-6740,308-696-6780,
,UNL - Barta Brothers Ranch,148 West 4th Street,,Anisworth,NE,69210,402-273-2030,,jrahn2@unl.edu
,Gudmundsen Sandhills Laboratory,45089 Gudmundsen Rd ,,Whitman,NE,69366-4705,,,
,Haskell Agricultural Laboratory,57905 866 Road,,Concord,NE ,68728,402-584-2261,402-584-3859,
ARDC,Agricultural Research & Development Center,1071 County Road G ,,Ithaca,NE,68033,402-624-8000,402-624-8010,ardc@unl.edu
,Kimmel Education & Research Center,5985 G Road,,Nebraska City,NE,68410,402-873-3166,402-873-3218,
,Lifelong Learning Center,601 East Benjamin Avenue,,Norfolk,NE,68701-0812,402-370-4000,,
,South Central Agricultural Laboratory,842 Road 313,PO Box 313,Clay Center,NE,68933-0066,402-762-4403,,
,Nebraska College of Technical Agriculture,404 E. 7th Street,,Curtis,NE,69025,308-367-4124,,
